name,level,psgc_code,region_code,province_code,municipal_city_code,barangay_code
Davao Occidental,Prov,1108600000,11,086,00,000
Don Marcelino,Mun,1108601000,11,086,01,000
Calian,Bgy,1108601001,11,086,01,001
Kiobog,Bgy,1108601002,11,086,01,002
North Lamidan,Bgy,1108601003,11,086,01,003
Lawa (Pob.),Bgy,1108601004,11,086,01,004
Nueva Villa,Bgy,1108601005,11,086,01,005
Talagutong (Pob.),Bgy,1108601006,11,086,01,006
Baluntaya,Bgy,1108601007,11,086,01,007
Dalupan,Bgy,1108601008,11,086,01,008
Kinanga,Bgy,1108601009,11,086,01,009
Lanao,Bgy,1108601010,11,086,01,010
Lapuan,Bgy,1108601011,11,086,01,011
Linadasan,Bgy,1108601012,11,086,01,012
Mabuhay,Bgy,1108601013,11,086,01,013
South Lamidan,Bgy,1108601014,11,086,01,014
West Lamidan,Bgy,1108601015,11,086,01,015
Jose Abad Santos,Mun,1108602000,11,086,02,000
Buguis,Bgy,1108602001,11,086,02,001
Balangonan,Bgy,1108602002,11,086,02,002
Bukid,Bgy,1108602006,11,086,02,006
Butuan,Bgy,1108602007,11,086,02,007
Butulan,Bgy,1108602008,11,086,02,008
Caburan Big,Bgy,1108602009,11,086,02,009
Caburan Small (Pob.),Bgy,1108602010,11,086,02,010
Camalian,Bgy,1108602011,11,086,02,011
Carahayan,Bgy,1108602012,11,086,02,012
Cayaponga,Bgy,1108602013,11,086,02,013
Culaman,Bgy,1108602014,11,086,02,014
Kalbay,Bgy,1108602015,11,086,02,015
Kitayo,Bgy,1108602016,11,086,02,016
Magulibas,Bgy,1108602019,11,086,02,019
Malalan,Bgy,1108602020,11,086,02,020
Mangile,Bgy,1108602021,11,086,02,021
Marabutuan,Bgy,1108602022,11,086,02,022
Meybio,Bgy,1108602023,11,086,02,023
Molmol,Bgy,1108602024,11,086,02,024
Nuing,Bgy,1108602025,11,086,02,025
Patulang,Bgy,1108602026,11,086,02,026
Quiapo,Bgy,1108602027,11,086,02,027
San Isidro,Bgy,1108602028,11,086,02,028
Sugal,Bgy,1108602033,11,086,02,033
Tabayon,Bgy,1108602034,11,086,02,034
Tanuman,Bgy,1108602035,11,086,02,035
Malita (Capital),Mun,1108603000,11,086,03,000
Bito,Bgy,1108603001,11,086,03,001
Bolila,Bgy,1108603002,11,086,03,002
Buhangin,Bgy,1108603003,11,086,03,003
Culaman,Bgy,1108603004,11,086,03,004
Datu Danwata,Bgy,1108603005,11,086,03,005
Demoloc,Bgy,1108603006,11,086,03,006
Felis,Bgy,1108603007,11,086,03,007
Fishing Village,Bgy,1108603008,11,086,03,008
Kibalatong,Bgy,1108603010,11,086,03,010
Kidalapong,Bgy,1108603011,11,086,03,011
Kilalag,Bgy,1108603012,11,086,03,012
Kinangan,Bgy,1108603013,11,086,03,013
Lacaron,Bgy,1108603016,11,086,03,016
Lagumit,Bgy,1108603017,11,086,03,017
Lais,Bgy,1108603018,11,086,03,018
Little Baguio,Bgy,1108603022,11,086,03,022
Macol,Bgy,1108603023,11,086,03,023
Mana,Bgy,1108603024,11,086,03,024
Manuel Peralta,Bgy,1108603025,11,086,03,025
New Argao,Bgy,1108603027,11,086,03,027
Pangian,Bgy,1108603030,11,086,03,030
Pinalpalan,Bgy,1108603031,11,086,03,031
Poblacion,Bgy,1108603032,11,086,03,032
Sangay,Bgy,1108603033,11,086,03,033
Talogoy,Bgy,1108603036,11,086,03,036
Tical,Bgy,1108603037,11,086,03,037
Ticulon,Bgy,1108603038,11,086,03,038
Tingolo,Bgy,1108603039,11,086,03,039
Tubalan,Bgy,1108603040,11,086,03,040
